MODULE	GENE
grey	FKBP1B
grey	MT1E
grey	ARL4C
grey	ADAMTS1
grey	HHLA2
grey	PLEKHB1
grey	STK39
grey	AMBP
grey	TMT1A
grey	ZNF91
grey	TSPAN12
grey	SGMS1
grey	DUSP1
grey	CEACAM7
grey	EYA2
grey	QPRT
grey	MYL9
grey	NPTX2
grey	SH3YL1
grey	PLN
grey	CACNA1D
grey	ALDH1A2
grey	SQLE
grey	DOCK9
grey	ALDH1A3
grey	COL8A2
grey	GOLM1
grey	LRRC31
grey	FZD6
grey	TBL1XR1
grey	TMEM106B
grey	H2BC5
grey	GADD45A
grey	TENT5A
grey	PLS1
grey	FILIP1L
grey	STS
grey	DHX29
grey	ALDH3A2
grey	MAFF
grey	ANXA4
grey	BCAT1
grey	PYGL
grey	MLF1
grey	OSMR
grey	DCPH1
grey	NR2F1
grey	CKB
grey	CXADR
grey	SPINK4
grey	GALNT12
grey	AGL
grey	ITGA6
grey	PBX1
grey	OSBPL8
grey	LOXL1
grey	ETNK1
grey	AKR1B1
grey	SRD5A1
grey	TFAP2A
grey	ABCC6
grey	ABCC6P1
grey	ABCC6P2
grey	FRZB
grey	CETN3
grey	TWF1
grey	ISLR
grey	SPOCK1
grey	HSD17B2
grey	SYT1
grey	RARRES2
grey	SLC26A2
grey	ADH1C
grey	SOCS2
grey	PCM1
grey	CEP15
grey	PRELID3B
grey	FRY
grey	CBR3
grey	CTSK
grey	SDC2
grey	MGLL
grey	MBIP
grey	CHMP2B
grey	PGD
grey	HSD17B11
grey	TP63
grey	PRSS8
grey	SLC47A1
grey	CNN3
grey	FNBP1L
grey	NUPR1
grey	DPYSL2
grey	SERINC1
grey	CNGA3
grey	FCN3
grey	MCL1
grey	LGALS8
grey	RAI14
grey	PRSS21
grey	SORD
grey	EDNRA
grey	IFRD1
grey	CD46
grey	FAT1
grey	ITPR1
grey	SLCO4C1
grey	ATP2C2
grey	MMP13
grey	LY6D
grey	XK
grey	HOXB7
grey	BNIP3L
grey	TMEM243
grey	TSC22D3
grey	IL1R2
grey	THBD
grey	AEBP1
grey	HPN
grey	NRP1
grey	SCG2
grey	HSPA2
grey	SUCLA2
grey	CAPZA2
grey	CHST2
grey	BET1
grey	MYOF
grey	OTULINL
grey	FSCN1
grey	CABYR
grey	ABCD3
grey	EIF2S3
grey	ATR
grey	SPARC
grey	SYNE2
grey	RHOB
grey	ABCG1
grey	TPD52L1
grey	ACSL3
grey	ABCA4
grey	IGF1R
grey	SEZ6L2
grey	STK26
grey	PAK3
grey	DMD
grey	GALNT10
grey	RABGAP1L
grey	MYRF
grey	MBNL1
grey	RCAN2
grey	CHIA
grey	CA9
grey	COXFA4L2
grey	IL27RA
grey	TNNC2
grey	ABCC4
grey	ELK3
grey	ANPEP
grey	SLC2A14
grey	RET
grey	ENDOD1
grey	PRKCA
grey	TDO2
grey	ARHGAP29
grey	PRNP
grey	TCF4
grey	NINJ2
grey	LPIN2
grey	COL6A1
grey	JUN
grey	NFIB
grey	HABP2
grey	DPY19L1
grey	LGR4
grey	PLEC
