fromNode	toNode	weight	direction	fromAltName	toAltName
NPIPB3	DBT	0.0876652917762504	undirected	NPIPB3	DBT
NPIPB3	SRRM2	0.0595867369102726	undirected	NPIPB3	SRRM2
NPIPB3	USP34	0.133218150437488	undirected	NPIPB3	USP34
NPIPB3	NKTR	0.101180973530057	undirected	NPIPB3	NKTR
NPIPB3	LUC7L3	0.124696038085729	undirected	NPIPB3	LUC7L3
NPIPB3	TNFAIP8L1	0.11398454094757	undirected	NPIPB3	TNFAIP8L1
NPIPB3	SLC35E1	0.107569629165825	undirected	NPIPB3	SLC35E1
NPIPB3	ZNF721	0.0955439482814549	undirected	NPIPB3	ZNF721
NPIPB3	ANKRD36B	0.0796870591918849	undirected	NPIPB3	ANKRD36B
NPIPB3	HAUS2	0.131132112285886	undirected	NPIPB3	HAUS2
NPIPB3	UBXN4	0.0686725813513905	undirected	NPIPB3	UBXN4
NPIPB3	ZNF160	0.103047975997159	undirected	NPIPB3	ZNF160
NPIPB3	CDK5RAP3	0.0682566222052289	undirected	NPIPB3	CDK5RAP3
NPIPB3	TPR	0.0621647349220113	undirected	NPIPB3	TPR
NPIPB3	NSUN5P1	0.054893712277338	undirected	NPIPB3	NSUN5P1
NPIPB3	NSUN5P2	0.054893712277338	undirected	NPIPB3	NSUN5P2
NPIPB3	PGF	0.116166431633491	undirected	NPIPB3	PGF
NPIPB3	SNRNP70	0.0761616228032864	undirected	NPIPB3	SNRNP70
NPIPB3	PRR11	0.102161677563906	undirected	NPIPB3	PRR11
NPIPB3	ATP8B1	0.0542780826880693	undirected	NPIPB3	ATP8B1
NPIPB3	SCAF11	0.101825831917327	undirected	NPIPB3	SCAF11
NPIPB3	BPTF	0.0843867573718611	undirected	NPIPB3	BPTF
NPIPB3	TRA2A	0.0575616059809682	undirected	NPIPB3	TRA2A
NPIPB3	FBXW12	0.123483074615963	undirected	NPIPB3	FBXW12
NPIPB3	GABRE	0.0517972742482659	undirected	NPIPB3	GABRE
NPIPB3	SETD5	0.0550086682377388	undirected	NPIPB3	SETD5
NPIPB3	PILRB	0.0557700015299005	undirected	NPIPB3	PILRB
NPIPB3	STAG3L5P-PVRIG2P-PILRB	0.0557700015299005	undirected	NPIPB3	STAG3L5P-PVRIG2P-PILRB
NPIPB3	RALGDS	0.0675214051654299	undirected	NPIPB3	RALGDS
NPIPB4	NPIPB5	0.348935369145963	undirected	NPIPB4	NPIPB5
NPIPB4	LRRFIP1	0.121234337984239	undirected	NPIPB4	LRRFIP1
NPIPB4	CIST1	0.13947907565828	undirected	NPIPB4	CIST1
NPIPB4	PDE4C	0.13947907565828	undirected	NPIPB4	PDE4C
NPIPB4	ATP6V1G2-DDX39B	0.061539978285876	undirected	NPIPB4	ATP6V1G2-DDX39B
NPIPB4	DDX39B	0.061539978285876	undirected	NPIPB4	DDX39B
NPIPB4	NPIPA1	0.250234679869401	undirected	NPIPB4	NPIPA1
NPIPB4	NPIPA2	0.250234679869401	undirected	NPIPB4	NPIPA2
NPIPB4	NPIPA3	0.250234679869401	undirected	NPIPB4	NPIPA3
NPIPB4	NPIPA5	0.250234679869401	undirected	NPIPB4	NPIPA5
NPIPB4	NPIPA7	0.250234679869401	undirected	NPIPB4	NPIPA7
NPIPB4	NPIPA8	0.250234679869401	undirected	NPIPB4	NPIPA8
NPIPB4	NPIPB10P	0.250234679869401	undirected	NPIPB4	NPIPB10P
NPIPB4	PKD1P1	0.250234679869401	undirected	NPIPB4	PKD1P1
NPIPB4	DBT	0.0876652917762504	undirected	NPIPB4	DBT
NPIPB4	SRRM2	0.0595867369102726	undirected	NPIPB4	SRRM2
NPIPB4	USP34	0.133218150437488	undirected	NPIPB4	USP34
NPIPB4	NKTR	0.101180973530057	undirected	NPIPB4	NKTR
NPIPB4	LUC7L3	0.124696038085729	undirected	NPIPB4	LUC7L3
NPIPB4	TNFAIP8L1	0.11398454094757	undirected	NPIPB4	TNFAIP8L1
NPIPB4	SLC35E1	0.107569629165825	undirected	NPIPB4	SLC35E1
NPIPB4	ZNF721	0.0955439482814549	undirected	NPIPB4	ZNF721
NPIPB4	ANKRD36B	0.0796870591918849	undirected	NPIPB4	ANKRD36B
NPIPB4	HAUS2	0.131132112285886	undirected	NPIPB4	HAUS2
NPIPB4	UBXN4	0.0686725813513905	undirected	NPIPB4	UBXN4
NPIPB4	ZNF160	0.103047975997159	undirected	NPIPB4	ZNF160
NPIPB4	CDK5RAP3	0.0682566222052289	undirected	NPIPB4	CDK5RAP3
NPIPB4	TPR	0.0621647349220113	undirected	NPIPB4	TPR
NPIPB4	NSUN5P1	0.054893712277338	undirected	NPIPB4	NSUN5P1
NPIPB4	NSUN5P2	0.054893712277338	undirected	NPIPB4	NSUN5P2
NPIPB4	PGF	0.116166431633491	undirected	NPIPB4	PGF
NPIPB4	SNRNP70	0.0761616228032864	undirected	NPIPB4	SNRNP70
NPIPB4	PRR11	0.102161677563906	undirected	NPIPB4	PRR11
NPIPB4	ATP8B1	0.0542780826880693	undirected	NPIPB4	ATP8B1
NPIPB4	SCAF11	0.101825831917327	undirected	NPIPB4	SCAF11
NPIPB4	BPTF	0.0843867573718611	undirected	NPIPB4	BPTF
NPIPB4	TRA2A	0.0575616059809682	undirected	NPIPB4	TRA2A
NPIPB4	FBXW12	0.123483074615963	undirected	NPIPB4	FBXW12
NPIPB4	GABRE	0.0517972742482659	undirected	NPIPB4	GABRE
NPIPB4	SETD5	0.0550086682377388	undirected	NPIPB4	SETD5
NPIPB4	PILRB	0.0557700015299005	undirected	NPIPB4	PILRB
NPIPB4	STAG3L5P-PVRIG2P-PILRB	0.0557700015299005	undirected	NPIPB4	STAG3L5P-PVRIG2P-PILRB
NPIPB4	RALGDS	0.0675214051654299	undirected	NPIPB4	RALGDS
