"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TOP2A",1.79148729911793,7.28307809687412,11.59686269931,7.27756387697974e-25,2.7290864538674e-22,45.7979741659606
"CACNA2D2",-1.75659075294679,8.02114460542474,-10.1489226794141,2.73745768304689e-20,1.86644842025925e-18,35.4379577802497
"FMO5",-1.75077136903216,7.13664188262148,-8.73607946169932,4.71740967546946e-16,1.64560802632655e-14,25.8606563253258
"TFPI2",1.74558385612183,7.85044350890754,5.45477148954678,1.24545068670318e-07,9.27134506230652e-07,6.95671973372383
"SFTPD",-1.72376197970315,9.18433149256181,-7.71007699829179,3.58825389044817e-13,8.09380576792821e-12,19.3636158415929
"GREM1",1.72228144357472,7.09295088951022,8.37884502126642,4.98931023146375e-15,1.48197333607834e-13,23.5487405863673
"ADGRF5",-1.64061935153491,9.23002117311501,-8.88129967208058,1.78384010805904e-16,6.76947822880002e-15,26.8144256589045
"CCNB1",1.61774083888743,6.90222006307309,12.1966936153207,8.28224438115751e-27,8.28224438115751e-24,50.2017245185315
"C4BPA",-1.59281022765132,9.10656442660513,-6.40624052449178,8.11628151527248e-10,9.08538975590203e-09,11.8313947302279
"AQP3",-1.58439008580167,9.75638853552363,-6.81378638944107,7.9841479906878e-11,1.0551737432627e-09,14.08778825906
"HPGD",-1.58424615843737,6.23207047486911,-6.47143888388355,5.63568532104555e-10,6.48120918446617e-09,12.1859425986633
"SLPI",-1.57723172047695,10.289385881506,-7.1051229331121,1.44015141133023e-11,2.20431338468913e-10,15.7573464612031
"PLA2G10",-1.57636760489608,7.15918935187731,-12.0430491986021,2.61929545229178e-26,1.31722745883559e-23,49.0688287848867
"SPINK1",-1.57229850234338,8.49000532588447,-4.40286825364541,1.62567909263417e-05,7.51469534345534e-05,2.28833530080278
"CDC20",1.567062513919,7.26739198284195,11.4872144085058,1.63952623579321e-24,4.47143518852693e-22,44.9989559121133
"CEP55",1.56327403886273,6.46151316668844,12.1461294411072,1.21020666629223e-26,9.0765499971917e-24,49.8285459161315
"MAGEA3",1.55247052258177,6.80825369422771,4.8273278683137,2.49954379787239e-06,1.357801198833e-05,4.0744955083994
"ASPM",1.53646111143389,6.22622538983477,10.7924750462659,2.67630482607616e-22,3.29149701804201e-20,39.9874613846475
"UBE2C",1.48692240838844,8.92230104469916,10.8272098230426,2.07917221697643e-22,2.71196376127361e-20,40.235729587351
"MAGEA6",1.48193259439487,5.61053746728248,4.80781159441985,2.7320081376302e-06,1.47676115547578e-05,3.9893957773988
"SFTPA2",-1.46946866135774,11.5420593312237,-4.84748432971743,2.27955416440016e-06,1.25480045746798e-05,4.16268232640781
"MSLN",-1.46912403604691,7.48192759298584,-4.4084785785096,1.58729668691671e-05,7.35995372604349e-05,2.31104592869055
"TMPRSS2",-1.45193331834457,6.99420254963438,-10.1664019541628,2.41734622928681e-20,1.68652062508382e-18,35.5601773335876
"PLOD2",1.44632271707972,8.33090263753165,7.65622457509118,5.01991062984348e-13,1.08882077048672e-11,19.0353461264414
"CLDN18",-1.44533871304496,7.38510785129927,-7.17779338990771,9.33043602247672e-12,1.52126674279512e-10,16.1808231051852
"SLC44A4",-1.42285580913585,7.2852072102101,-10.6681422602209,6.59294067853208e-22,6.59294067853208e-20,39.1009465633595
"SFTPB",-1.42084373465185,12.0987306256336,-5.47602926705034,1.11991012980598e-07,8.39932597354486e-07,7.05919711652234
"PRC1",1.41717728850037,7.31860368158216,10.6768955589381,6.18816610472659e-22,6.40155114282061e-20,39.1632469476513
"CTSH",-1.41370323941178,10.3627774620398,-10.0525517791771,5.42622476863889e-20,3.39139048039931e-18,34.7655583981301
"MAD2L1",1.40600091193203,6.09393364964043,11.2143246012161,1.22647255347912e-23,2.21500398791228e-21,43.0194586766658
"TPX2",1.40426157912394,7.60830020008334,12.6687169447844,2.36616999414815e-28,7.09850998244446e-25,53.7002434697643
"RNASE1",-1.39201831905345,11.097010155652,-8.06264545193166,3.85756820562024e-14,1.0151495277948e-12,21.5456335208543
