"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051783","regulation of nuclear division","17/212","135/18842",0.125925925925926,11.191963661775,12.6775740367011,1.95563904417477e-13,4.10684199276702e-11,4.10684199276702e-11,"TRIP13/NDC80/RAD51AP1/AURKA/TTK/DLGAP5/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/NEK2/NUSAP1/UBE2C/CCNB1/BUB1/CDC20",17
"GO:0033045","regulation of sister chromatid segregation","16/212","115/18842",0.139130434782609,12.3655455291222,13.0412307333108,2.09846182236814e-13,4.25481224673263e-11,4.25481224673263e-11,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/CDK1/UBE2C/CCNB1/BUB1/CDC20/CDC6",16
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","18/212","160/18842",0.1125,9.99870283018868,12.1938737813097,2.7123746632327e-13,5.31625433993609e-11,5.31625433993609e-11,"NDC80/AURKA/TTK/GPSM2/DLGAP5/CENPA/TPX2/KIF2A/BIRC5/KIF11/PRC1/CDK1/NUSAP1/KIF4A/RACGAP1/SMC3/CCNB1/TUBG1",18
"GO:0045930","negative regulation of mitotic cell cycle","21/212","237/18842",0.0886075949367089,7.87520898017674,11.3621028768622,3.05055031774982e-13,5.78620511882869e-11,5.78620511882869e-11,"TRIP13/DTL/NDC80/TTK/GMNN/DONSON/ZWINT/CENPF/BUB1B/FHL1/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",21
"GO:0030071","regulation of mitotic metaphase/anaphase transition","15/212","100/18842",0.15,13.3316037735849,13.1894010183502,3.89057036501602e-13,7.14892304571694e-11,7.14892304571694e-11,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/CDC6",15
"GO:0007088","regulation of mitotic nuclear division","16/212","120/18842",0.133333333333333,11.8503144654088,12.7195077867853,4.13952599029238e-13,7.37588267361188e-11,7.37588267361188e-11,"TRIP13/NDC80/AURKA/TTK/DLGAP5/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/NEK2/NUSAP1/UBE2C/CCNB1/BUB1/CDC20",16
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","15/212","103/18842",0.145631067961165,12.9433046345485,12.9653246054873,6.08720031705388e-13,1.05272758424344e-10,1.05272758424344e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/CDC6",15
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","15/212","104/18842",0.144230769230769,12.8188497822932,12.8926960145417,7.04329981933436e-13,1.16113203016411e-10,1.16113203016411e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/CDC6",15
"GO:0010965","regulation of mitotic sister chromatid separation","13/212","69/18842",0.188405797101449,16.7450095706864,13.9770047272915,7.10897161324963e-13,1.16113203016411e-10,1.16113203016411e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20",13
"GO:0051306","mitotic sister chromatid separation","13/212","71/18842",0.183098591549296,16.2733191602445,13.7541062343908,1.04784138888095e-12,1.66521820719458e-10,1.66521820719458e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20",13
"GO:0044784","metaphase/anaphase transition of cell cycle","15/212","107/18842",0.14018691588785,12.4594427790513,12.6806646747462,1.08075925614731e-12,1.67233274372269e-10,1.67233274372269e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/CDC6",15
"GO:0045786","negative regulation of cell cycle","25/212","382/18842",0.0654450261780105,5.81658105304752,10.1453768577635,1.45078814895707e-12,2.18734213227374e-10,2.18734213227374e-10,"TRIP13/DTL/NDC80/TTK/H2AX/RFC5/GMNN/DONSON/ZWINT/CENPF/BUB1B/FHL1/BIRC5/MAD2L1/NEK2/CDK1/DBF4/TOPBP1/RFC4/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",25
"GO:0090329","regulation of DNA-templated DNA replication","11/212","46/18842",0.239130434782609,21.2532813781788,14.6708430790115,2.66541344975813e-12,3.91815777114445e-10,3.91815777114445e-10,"DTL/SSBP1/GMNN/MCM4/MCM2/MCM6/DBF4/MCM7/MCM5/CDC7/ELOC",11
"GO:0033044","regulation of chromosome organization","20/212","246/18842",0.0813008130081301,7.22580150329805,10.4849540757652,5.67057011378342e-12,8.13242738269428e-10,8.13242738269428e-10,"TRIP13/NDC80/TTK/DLGAP5/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/NEK2/CDK1/CCT6A/UBE2C/CCNB1/BUB1/CDC20/NCAPG/CDC6/SMC2",20
"GO:0033047","regulation of mitotic sister chromatid segregation","12/212","65/18842",0.184615384615385,16.4081277213353,13.2741561683786,7.1888440464819e-12,1.00643816650747e-09,1.00643816650747e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CDK1/CCNB1/BUB1/CDC20",12
"GO:0007051","spindle organization","18/212","195/18842",0.0923076923076923,8.20406386066763,10.7870788191768,8.12963576362095e-12,1.11168042535096e-09,1.11168042535096e-09,"NDC80/AURKA/TTK/GPSM2/DLGAP5/TPX2/KIF2A/BIRC5/KIF11/NEK2/PRC1/ASPM/KIF4A/RACGAP1/SAC3D1/SMC3/CCNB1/TUBG1",18
"GO:0007094","mitotic spindle assembly checkpoint signaling","11/212","56/18842",0.196428571428571,17.4580525606469,13.1573605946989,2.69661920030625e-11,3.44698280386973e-09,3.44698280386973e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0071173","spindle assembly checkpoint signaling","11/212","56/18842",0.196428571428571,17.4580525606469,13.1573605946989,2.69661920030625e-11,3.44698280386973e-09,3.44698280386973e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0071174","mitotic spindle checkpoint signaling","11/212","56/18842",0.196428571428571,17.4580525606469,13.1573605946989,2.69661920030625e-11,3.44698280386973e-09,3.44698280386973e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0007052","mitotic spindle organization","15/212","134/18842",0.111940298507463,9.94895803998874,11.0898243664425,3.00193253004581e-11,3.75560920780199e-09,3.75560920780199e-09,"NDC80/AURKA/TTK/GPSM2/DLGAP5/TPX2/KIF2A/BIRC5/KIF11/PRC1/KIF4A/RACGAP1/SMC3/CCNB1/TUBG1",15
"GO:0031577","spindle checkpoint signaling","11/212","57/18842",0.192982456140351,17.1517709367759,13.0276311155955,3.30880173657859e-11,4.05328212730877e-09,4.05328212730877e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0006310","DNA recombination","22/212","338/18842",0.0650887573964497,5.78491682482974,9.46920265046095,3.85257010874117e-11,4.48576525475261e-09,4.48576525475261e-09,"TRIP13/RAD51AP1/H2AX/PSMD14/HELLS/MCM4/TOP2A/SKP2/ACTL6A/MCM2/MCM6/HSPD1/MSH6/MCM7/MSH2/TOPBP1/MCM5/KPNA2/CDC7/PRKDC/HMGB2/SMC2",22
"GO:0033046","negative regulation of sister chromatid segregation","11/212","58/18842",0.189655172413793,16.8560507482108,12.9011511044188,4.04329181125661e-11,4.48576525475261e-09,4.48576525475261e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0033048","negative regulation of mitotic sister chromatid segregation","11/212","58/18842",0.189655172413793,16.8560507482108,12.9011511044188,4.04329181125661e-11,4.48576525475261e-09,4.48576525475261e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","11/212","58/18842",0.189655172413793,16.8560507482108,12.9011511044188,4.04329181125661e-11,4.48576525475261e-09,4.48576525475261e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:2000816","negative regulation of mitotic sister chromatid separation","11/212","58/18842",0.189655172413793,16.8560507482108,12.9011511044188,4.04329181125661e-11,4.48576525475261e-09,4.48576525475261e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0045931","positive regulation of mitotic cell cycle","14/212","117/18842",0.11965811965812,10.6348975971617,11.1517390569746,5.62112749861381e-11,6.12078327626837e-09,6.12078327626837e-09,"DTL/RRM1/AURKA/DLGAP5/BIRC5/CDK1/EIF4EBP1/RRM2/UBE2C/CDC7/CCNB1/CDC20/CDC6/CCNE2",14
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","11/212","60/18842",0.183333333333333,16.2941823899371,12.657398397169,5.96718860767867e-11,6.2655480380626e-09,6.2655480380626e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:1905819","negative regulation of chromosome separation","11/212","60/18842",0.183333333333333,16.2941823899371,12.657398397169,5.96718860767867e-11,6.2655480380626e-09,6.2655480380626e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0051985","negative regulation of chromosome segregation","11/212","61/18842",0.180327868852459,16.0270646458398,12.5398746047906,7.20881906399259e-11,7.43646598180289e-09,7.43646598180289e-09,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
